grid_id,lon,lat,obs_density,species_richness,threat_mean,migration_ratio
0_105,-9.358721178970121,46.19715506556549,0.0,0.0,0.0,0.0
0_106,-9.35872117897012,46.50717206849494,0.0,0.0,0.0,0.0
0_107,-9.35872117897012,46.81543101328113,0.0,0.0,0.0,0.0
0_108,-9.358721178970121,47.12193299725701,0.0,0.0,0.0,0.0
0_109,-9.358721178970121,47.42667931319163,0.0,0.0,0.0,0.0
0_110,-9.35872117897012,47.72967144569176,0.0,0.0,0.0,0.0
0_111,-9.35872117897012,48.030911067610674,0.0,0.0,0.0,0.0
0_112,-9.35872117897012,48.3304000364656,0.0,0.0,0.0,0.0
0_113,-9.35872117897012,48.62814039086563,0.0,0.0,0.0,0.0
0_114,-9.358721178970121,48.92413434695171,0.0,0.0,0.0,0.0
0_115,-9.358721178970121,49.218384294850395,0.0,0.0,0.0,0.0
0_116,-9.35872117897012,49.510892795142716,0.0,0.0,0.0,0.0
0_117,-9.35872117897012,49.80166257534987,0.0,0.0,0.0,0.0
0_118,-9.35872117897012,50.090696526436886,0.0,0.0,0.0,0.0
0_119,-9.35872117897012,50.377997699335765,0.0,0.0,0.0,0.0
0_120,-9.358721178970121,50.663569301489524,0.0,0.0,0.0,0.0
0_121,-9.35872117897012,50.94741469341808,0.0,0.0,0.0,0.0
0_122,-9.35872117897012,51.22953738530738,0.0,0.0,0.0,0.0
0_123,-9.358721178970123,51.50994103362292,0.0,0.0,0.0,0.0
0_124,-9.358721178970121,51.7886294377486,0.0,0.0,0.0,0.0
0_125,-9.35872117897012,52.06560653665202,0.0,0.0,0.0,0.0
0_126,-9.358721178970121,52.340876405577305,0.0,0.0,0.0,0.0
0_127,-9.358721178970121,52.61444325276618,0.0,0.0,0.0,0.0
0_128,-9.358721178970121,52.88631141620825,0.0,0.0,0.0,0.0
0_129,-9.35872117897012,53.15648536042149,0.0,0.0,0.0,0.0
0_130,-9.358721178970121,53.4249696732634,0.0,0.0,0.0,0.0
0_131,-9.35872117897012,53.69176906277382,0.0,0.0,0.0,0.0
0_132,-9.358721178970121,53.956888354050115,0.0,0.0,0.0,0.0
0_133,-9.35872117897012,54.22033248615508,0.0,0.0,0.0,0.0
0_134,-9.358721178970121,54.48210650905847,0.0,0.0,0.0,0.0
0_135,-9.35872117897012,54.74221558061265,0.0,0.0,0.0,0.0
0_136,-9.358721178970121,55.00066496356279,0.0,0.0,0.0,0.0
0_137,-9.35872117897012,55.25746002259212,0.0,0.0,0.0,0.0
0_138,-9.35872117897012,55.51260622140276,0.0,0.0,0.0,0.0
0_139,-9.35872117897012,55.766109119832436,0.0,0.0,0.0,0.0
0_140,-9.35872117897012,56.01797437100746,0.0,0.0,0.0,0.0
0_141,-9.358721178970121,56.26820771853241,0.0,0.0,0.0,0.0
0_142,-9.35872117897012,56.51681499371661,0.0,0.0,0.0,0.0
0_143,-9.358721178970121,56.76380211283789,0.0,0.0,0.0,0.0
0_144,-9.35872117897012,57.009175074443604,0.0,0.0,0.0,0.0
0_145,-9.358721178970121,57.252939956689374,0.0,0.0,0.0,0.0
0_146,-9.358721178970121,57.4951029147155,0.0,0.0,0.0,0.0
0_147,-9.358721178970121,57.735670178061326,0.0,0.0,0.0,0.0
0_148,-9.358721178970121,57.974648048117565,0.0,0.0,0.0,0.0
0_149,-9.358721178970121,58.21204289561663,0.0,0.0,0.0,0.0
0_150,-9.358721178970121,58.447861158161295,0.0,0.0,0.0,0.0
0_151,-9.35872117897012,58.682109337791246,0.0,0.0,0.0,0.0
0_152,-9.35872117897012,58.91479399858802,0.0,0.0,0.0,0.0
0_153,-9.358721178970121,59.14592176431787,0.0,0.0,0.0,0.0
0_154,-9.35872117897012,59.375499316112936,0.0,0.0,0.0,0.0
0_155,-9.358721178970121,59.603533390190215,0.0,0.0,0.0,0.0
0_156,-9.358721178970121,59.830030775608634,0.0,0.0,0.0,0.0
0_157,-9.358721178970121,60.054998312063795,0.0,0.0,0.0,0.0
0_158,-9.358721178970121,60.27844288772052,0.0,0.0,0.0,0.0
1_0,-8.90956353691036,5.04228914584197,0.0,0.0,0.0,0.0
1_1,-8.90956353691036,5.489546542159399,0.0,0.0,0.0,0.0
1_2,-8.909563536910358,5.936468661662051,0.0,0.0,0.0,0.0
1_3,-8.90956353691036,6.383028585126525,0.0,0.0,0.0,0.0
1_4,-8.90956353691036,6.829199503176717,0.0,0.0,0.0,0.0
